16,Jun-01,2001,JUNE,6,17.842,0.295,15.069,0.298,0.0197827517549619,-0.296997662016638,-6.27475929331317,,,,,,,,,,,,1.88643392665568,-7.64382263458629
2,Jul-01,2001,JULY,7,7.511,0.627,,,,,,,,,,,,,,,,,,
16,Jul-01,2001,JULY,7,6.879,1.245,7.195,0.936,0.130068857083946,2.09030015261167,-4.1844591407015,,,,,,,,,,,,0.296415410552522,-7.34740722403377
2,Aug-01,2001,AUGUST,8,2.848,0.069,,,,,,,,,,,,,,,,,,
16,Aug-01,2001,AUGUST,8,2.349,0.163,2.599,0.116,0.0446231225673073,0.240707090345166,-3.94375205035633,,,,,,,,,,,,-0.631737271948433,-7.9791444959822
2,Sep-01,2001,SEPTEMBER,9,1.143,0.019,,,,,,,,,,,,,,,,,,
16,Sep-01,2001,SEPTEMBER,9,3.559,0.053,2.351,0.036,0.015331738878935,-0.393346093943982,-4.33709814430031,,,,,,,,,,,,-0.681756408808636,-8.66090090479084
2,Oct-01,2001,OCTOBER,10,0.889,0.011,,,,,,,,,,,,,,,,,,
16,Oct-01,2001,OCTOBER,10,1.355,0.019,1.122,0.015,0.0133509396740902,-0.43622327778176,-4.77332142208207,,,,,,,,,,,,-0.9299392738032,-9.59084017859404
2,Nov-01,2001,NOVEMBER,11,0.913,0.011,,,,,,,,,,,,,,,,,,
16,Nov-01,2001,NOVEMBER,11,1.229,0.011,1.071,0.011,0.0105545417304871,-0.496755243070412,-5.27007666515248,,,,,,,,,,,,-0.940239572094128,-10.5310797506882
2,Dec-01,2001,DECEMBER,12,2.646,0.023,,,,,,,,,,,,,,,,,,
16,Dec-01,2001,DECEMBER,12,0.655,0.000,1.651,0.011,0.006961113098108,-0.574540058260971,-5.84461672341346,,,,,,,,,,,,-0.823134831263979,-11.3542145819521
2,Jan-02,2002,JANUARY,1,2.586,0.029,,,,,,,,,,,,,,,,,,
16,Jan-02,2002,JANUARY,1,2.433,0.030,2.510,0.030,0.0118653684137922,-0.468380556458025,-6.31299727987148,,,,,,,,,,,,-0.649746394599285,-12.0039609765514
2,Feb-02,2002,FEBRUARY,2,3.802,0.036,,,,,,,,,,,,,,,,,,
16,Feb-02,2002,FEBRUARY,2,1.849,0.021,2.825,0.028,0.00996731323295726,-0.509466629556123,-6.8224639094276,,,,,,,,,,,,-0.586011855746957,-12.5899728322984
2,Mar-02,2002,MARCH,3,2.510,0.017,,,,,,,,,,,,,,,,,,
16,Mar-02,2002,MARCH,3,2.286,,2.398,0.017,0.00692345136600135,-0.575355299405674,-7.39781920883328,,,,,,,,,,,,-0.672267471357347,-13.2622403036557
2,Apr-02,2002,APRIL,4,2.158,0.017,,,,,,,,,,,,,,,,,,
16,Apr-02,2002,APRIL,4,1.775,0.022,1.966,0.020,0.00995741291162833,-0.509680935931365,-7.90750014476464,,,,,,,,,,,,-0.759460066887622,-14.0217003705434
