STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
18,3/18/1997,1997,MARCH,3,0.05,-0.905705709,-0.875973337,-9.244475913,0.178333333,
1,4/21/1997,1997,APRIL,4,2.98,-0.25122187,,,,
17,4/21/1997,1997,APRIL,4,0.53,-0.797554206,,,,
18,4/21/1997,1997,APRIL,4,1.41,-0.601320551,-0.550032209,-9.794508122,1.64,2.360098039
1,5/21/1997,1997,MAY,5,5.26,0.257201692,,,,
17,5/21/1997,1997,MAY,5,0.62,-0.777484855,,,,
18,5/21/1997,1997,MAY,5,1.22,-0.643689181,-0.387990781,-10.1824989,2.366666667,
1,6/11/1997,1997,JUNE,6,3.96,-0.032688936,,,,
17,6/11/1997,1997,JUNE,6,1.54,-0.572331488,,,,
18,6/11/1997,1997,JUNE,6,0.30,-0.848842548,-0.48462099,-10.66711989,1.933333333,
1,7/17/1997,1997,JULY,7,0.39,-0.828773197,,,,
17,7/17/1997,1997,JULY,7,0.48,-0.808703845,,,,
18,7/17/1997,1997,JULY,7,0.58,-0.786404566,-0.807960536,-11.47508043,0.483333333,
18,8/22/1997,1997,AUGUST,8,1.18,-0.652608892,,,,
1,8/25/1997,1997,AUGUST,8,0.05,-0.905705709,,,,
17,8/25/1997,1997,AUGUST,8,0.05,-0.905705709,-0.821340104,-12.29642053,0.423333333,
1,9/25/1997,1997,SEPTEMBER,9,19.20,3.365721187,,,,
17,9/25/1997,1997,SEPTEMBER,9,1.00,-0.692747595,,,,
18,9/25/1997,1997,SEPTEMBER,9,2.56,-0.344878842,0.776031583,-11.52038895,7.586666667,
1,10/7/1997,1997,OCTOBER,10,8.71 ,1.026526818,,,,
17,10/7/1997,1997,OCTOBER,10,7.37 ,0.727716479,,,,
18,10/7/1997,1997,OCTOBER,10,1.09 ,-0.672678243,0.360521684,-11.15986727,5.723333333,2.87952381
1,11/21/1997,1997,NOVEMBER,11,6.52 ,0.538172607,,,,
17,11/21/1997,1997,NOVEMBER,11,2.51 ,-0.356028481,,,,
18,11/21/1997,1997,NOVEMBER,11,3.96 ,-0.032688936,0.049818397,-11.11004887,4.33,
1,12/16/1997,1997,DECEMBER,12,1.17 ,-0.65483882,,,,
17,12/16/1997,1997,DECEMBER,12,0.34 ,-0.839922836,,,,
18,12/16/1997,1997,DECEMBER,12,0.70 ,-0.759645432,-0.751469029,-11.8615179,0.736666667,
1,1/20/1998,1998,JANUARY,1,4.09 ,-0.003699873,,,,
17,1/20/1998,1998,JANUARY,1,8.42 ,0.961858909,,,,
18,1/20/1998,1998,JANUARY,1,9.00 ,1.091194727,0.683117921,-11.17839998,7.17,
1,2/9/1998,1998,FEBRUARY,2,3.07,-0.231152519,,,,
17,2/9/1998,1998,FEBRUARY,2,2.64,-0.327039419,,,,
18,2/9/1998,1998,FEBRUARY,2,2.91,-0.266831365,-0.275007768,-11.45340774,2.873333333,
1,3/10/1998,1998,MARCH,3,0.89,-0.717276801,,,,
17,3/10/1998,1998,MARCH,3,0.10 ,-0.892883624,,,,
