STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
17,5/11/2004,2004,MAY,5,1.75,-0.525503002,,,,
18,5/11/2004,2004,MAY,5,2.35 ,-0.391707328,-0.081747349,-26.40593842,3.74,
1,6/15/2004,2004,JUNE,6,0.91 ,-0.712816946,,,,
17,6/15/2004,2004,JUNE,6,1.21 ,-0.645919109,,,,
18,6/15/2004,2004,JUNE,6,2.47 ,-0.364948193,-0.574561416,-26.98049984,1.53,
1,7/13/2004,2004,JULY,7,0.58,-0.786404566,,,,
17,7/13/2004,2004,JULY,7,3.77,-0.075057566,,,,
18,7/13/2004,2004,JULY,7,2.55,-0.34710877,-0.402856967,-27.3833568,2.3,
1,8/18/2004,2004,AUGUST,8,5.49,0.308490033,,,,
17,8/18/2004,2004,AUGUST,8,3.26,-0.188783889,,,,
18,8/18/2004,2004,AUGUST,8,5.13,0.228212629,0.115972924,-27.26738388,4.626666667,
1,9/14/2004,2004,SEPTEMBER,9,5.90,0.399917077,,,,
17,9/14/2004,2004,SEPTEMBER,9,0.72,-0.755185576,,,,
18,9/14/2004,2004,SEPTEMBER,9,0.47,-0.810933773,-0.388734091,-27.65611797,2.363333333,
1,10/12/2004,2004,OCTOBER,10,2.85 ,-0.280210933,,,,
17,10/12/2004,2004,OCTOBER,10,5.45 ,0.299570322,,,,
18,10/12/2004,2004,OCTOBER,10,1.21 ,-0.645919109,-0.20885324,-27.86497121,3.17,
1,11/15/2004,2004,NOVEMBER,11,4.37 ,0.058738108,,,,
17,11/15/2004,2004,NOVEMBER,11,0.81 ,-0.735116225,,,,
18,11/15/2004,2004,NOVEMBER,11,1.42 ,-0.599090623,-0.425156246,-28.29012746,2.2,
1,12/14/2004,2004,DECEMBER,12,8.12 ,0.894961071,,,,
17,12/14/2004,2004,DECEMBER,12,9.23 ,1.142483069,,,,
18,12/14/2004,2004,DECEMBER,12,1.02 ,-0.688287739,0.4497188,-27.84040866,6.123333333,
1,1/10/2005,2005,JANUARY,1,2.95 ,-0.257911654,,,,
17,1/10/2005,2005,JANUARY,1,4.5 ,0.083267315,,,,
18,1/10/2005,2005,JANUARY,1,3.8 ,-0.05944807,-0.078030803,-27.91843946,3.756666667,
1,2/16/2005,2005,FEBRUARY,2,0.2 ,-0.880061538,,,,
17,2/16/2005,2005,FEBRUARY,2,0.09 ,-0.895671034,,,,
18,2/16/2005,2005,FEBRUARY,2,3.90 ,-0.046068503,-0.607267025,-28.52570648,1.383333333,
1,3/17/2005,2005,MARCH,3,1.38 ,-0.608010334,,,,
17,3/17/2005,2005,MARCH,3,0.47 ,-0.810933773,,,,
18,3/17/2005,2005,MARCH,3,4.96 ,0.190303855,-0.409546751,-28.93525323,2.27,
1,4/26/2005,2005,APRIL,4,18.1 ,3.120429117,,,,
17,4/26/2005,2005,APRIL,4,3.58 ,-0.117426196,,,,
18,4/26/2005,2005,APRIL,4,3.85 ,-0.057218143,0.98192826,-27.95332498,8.51,
1,5/17/2005,2005,MAY,5,13.2 ,2.027764446,,,,
17,5/17/2005,2005,MAY,5,5.51 ,0.312949889,,,,
18,5/17/2005,2005,MAY,5,,,1.170357167,-26.78296781,9.355,
1,6/14/2005,2005,JUNE,6,0.6 ,-0.784174639,,,,
17,6/14/2005,2005,JUNE,6,9.94 ,1.30080795,,,,
18,6/14/2005,2005,JUNE,6,7.47 ,0.750015758,0.422216356,-26.36075145,6,
1,7/14/2005,2005,JULY,7,6.11 ,0.446745563,,,,
17,7/14/2005,2005,JULY,7,4.41 ,0.06765782,,,,
18,7/14/2005,2005,JULY,7,4.46 ,0.078807459,0.197736948,-26.1630145,4.993333333,4.029895833
1,8/23/2005,2005,AUGUST,8,2.71 ,-0.311429923,,,,
17,8/23/2005,2005,AUGUST,8,0.19 ,-0.873371755,,,,
18,8/23/2005,2005,AUGUST,8,10.4 ,1.403384633,0.072860985,-26.09015352,4.433333333,
1,9/13/2005,2005,SEPTEMBER,9,,,,,,
17,9/13/2005,2005,SEPTEMBER,9,1.73 ,-0.529962858,,,,
18,9/13/2005,2005,SEPTEMBER,9,2.2 ,-0.434075958,-0.482019408,-26.57217293,1.945,
18,10/12/2005,2005,OCTOBER,10,6.45 ,0.522563112,,,,
1,10/13/2005,2005,OCTOBER,10,8.38 ,0.952939197,,,,
17,10/13/2005,2005,OCTOBER,10,5.80 ,0.377617798,0.617706702,-25.95446622,6.876666667,
1,11/15/2005,2005,NOVEMBER,11,1.14 ,-0.661528604,,,,
17,11/15/2005,2005,NOVEMBER,11,4.35 ,0.054278253,,,,
18,11/15/2005,2005,NOVEMBER,11,0.27 ,-0.855532331,-0.487594228,-26.44206045,1.92,
1,12/21/2005,2005,DECEMBER,12,8.82 ,1.051056025,,,,
17,12/21/2005,2005,DECEMBER,12,12.10 ,1.782472376,,,,
18,12/21/2005,2005,DECEMBER,12,16.40 ,2.741341374,1.858289925,-24.58377053,12.44,
1,1/17/2006,2006,JANUARY,1,4.46 ,0.078807459,,,,
17,1/17/2006,2006,JANUARY,1,9.5 ,1.202691122,,,,
18,1/17/2006,2006,JANUARY,1,8.73 ,1.030986673,0.770828418,-23.81294211,7.563333333,
1,2/14/2006,2006,February,2,9.90 ,1.291888238,,,,
17,2/14/2006,2006,February,2,23.3 ,4.279991626,,,,
18,2/14/2006,2006,February,2,1.96 ,-0.478674516,1.697735116,-22.11520699,11.72,
1,3/13/2006,2006,March,3,0.96 ,-0.701667306,,,,
17,3/13/2006,2006,March,3,6.5 ,0.533712751,,,,
18,3/13/2006,2006,March,3,1.53 ,-0.574561416,-0.247505324,-22.36271232,2.996666667,
1,4/18/2006,2006,April,4,8.34 ,0.944019485,,,,
17,4/18/2006,2006,April,4,1.11 ,-0.668218388,,,,
18,4/18/2006,2006,April,4,1.56 ,-0.567871632,-0.097356845,-22.46006916,3.67,
1,5/15/2006,2006,May,5,9.73 ,1.253979464,,,,
17,5/15/2006,2006,May,5,8.06 ,0.881581504,,,,
18,5/15/2006,2006,May,5,5.04 ,0.208143278,0.781234748,-21.67883441,7.61,
1,6/15/2006,2006,June,6,8.21 ,0.915030423,,,,
17,6/15/2006,2006,June,6,8.63 ,1.008687394,,,,
18,6/15/2006,2006,June,6,1.10 ,-0.670448316,0.4177565,-21.26107791,5.98,
1,7/18/2006,2006,July,7,7.2 ,0.689807705,,,,
17,7/18/2006,2006,July,7,5.9 ,0.399917077,,,,
18,7/18/2006,2006,July,7,1.92 ,-0.487594228,0.200710185,-21.06036773,5.006666667,
1,8/24/2006,2006,August,8,13.5,2.094662283,,,,
17,8/25/2006,2006,August,8,15.2 ,2.473750026,,,,
18,8/25/2006,2006,August,8,10.7 ,1.47028247,2.01289826,-19.04746947,13.13333333,7.204
1,9/12/2006,2006,Septemeber,9,15.5,2.540647863,,,,
17,9/12/2006,2006,Septemeber,9,11.5 ,1.648676702,,,,
18,9/12/2006,2006,Septemeber,9,20.8 ,3.722509651,2.637278072,-16.4101914,15.93333333,
1,10/19/2006,2006,October,10,10.30,1.381085354,,,,
17,10/19/2006,2006,October,10,5.40,0.288420682,,,,
18,10/19/2006,2006,October,10,2.08,-0.451915381,0.405863552,-16.00432784,5.926666667,
1,11/14/2006,2006,November,11,2.63,-0.329269347,,,,
17,11/14/2006,2006,November,11,4.61,0.112256378,,,,
18,11/14/2006,2006,November,11,8.31,0.937329702,0.240105578,-15.76422227,5.183333333,
1,12/12/2006,2006,December,12,3.35,-0.168714538,,,,
17,12/12/2006,2006,December,12,2.37,-0.387247472,,,,
18,12/12/2006,2006,December,12,2.53,-0.351568626,-0.302510212,-16.06673248,2.75,
1,1/16/2007,2007,January,1,1.38,-0.608010334,,,,
17,1/16/2007,2007,January,1,0.94,-0.706127162,,,,
18,1/16/2007,2007,January,1,7.97,0.861512153,-0.150875114,-16.21760759,3.43,
1,2/20/2007,2007,February,2,2.53,-0.351568626,,,,
17,2/20/2007,2007,February,2,2.76,-0.300280284,,,,
18,2/20/2007,2007,February,2,10.80,1.492581749,0.28024428,-15.93736331,5.363333333,
1,3/13/2007,2007,March,3,5.79,0.37538787,,,,
17,3/13/2007,2007,March,3,6.12,0.448975491,,,,
18,3/13/2007,2007,March,3,7.06,0.658588714,0.494317358,-15.44304595,6.323333333,
1,4/18/2007,2007,April,4,2.50,-0.358258409,,,,
17,4/18/2007,2007,April,4,3.63,-0.106276556,,,,
18,4/18/2007,2007,April,4,3.67,-0.097356845,-0.18729727,-15.63034322,3.266666667,6.812222222
1,5/15/2007,2007,May,5,7.71,0.803534027,,,,
17,5/15/2007,2007,May,5,0.11,-0.891211178,,,,
18,5/15/2007,2007,May,5,0.07,-0.900130889,-0.329269347,-15.95961257,2.63,
1,6/12/2007,2007,June,6,6.04,0.431136068,,,,
17,6/12/2007,2007,June,6,1.64,-0.550032209,,,,
18,6/12/2007,2007,June,6,3.28,-0.184324033,-0.101073391,-16.06068596,3.653333333,
1,7/17/2007,2007,July,7,1.41,-0.601320551,,,,
17,7/17/2007,2007,July,7,2,-0.469754804,,,,
18,7/17/2007,2007,July,7,3.16,-0.211083168,-0.427386174,-16.48807214,2.19,
1,8/14/2007,2007,August,8,14,2.206158678,,,,
17,8/14/2007,2007,August,8,2.99,-0.248991942,,,,
18,8/14/2007,2007,August,8,12.1,1.782472376,1.246546371,-15.24152577,9.696666667,
1,9/12/2007,2007,September,9,5.51,0.312949889,,,,
17,9/12/2007,2007,September,9,3.87,-0.052758287,,,,
18,9/12/2007,2007,September,9,9.57,1.218300617,0.49283074,-14.74869503,6.316666667,
1,10/18/2007,2007,October,10,12,1.760173097,,,,
17,10/18/2007,2007,October,10,0.73,-0.752955648,,,,
18,10/18/2007,2007,October,10,1.58,-0.563411776,0.147935224,-14.6007598,4.77,
1,11/13/2007,2007,November,11,9.07,1.106804222,,,,
17,11/13/2007,2007,November,11,12.5,1.871669492,,,,
18,11/13/2007,2007,November,11,12.4,1.849370213,1.609281309,-12.99147849,11.32333333,
1,12/11/2007,2007,December,12,3.16,-0.211083168,,,,
17,12/11/2007,2007,December,12,2.38,-0.385017544,,,,
18,12/11/2007,2007,December,12,15.3,2.496049305,0.633316198,-12.35816229,6.946666667,
1,1/17/2008,2008,January,1,8.04,0.877121648,,,,
17,1/17/2008,2008,January,1,5.14,0.230442557,,,,
18,1/17/2008,2008,January,1,1.04,-0.683827883,0.141245441,-12.21691685,4.74,
1,2/12/2008,2008,February,2,4.8,0.154625008,,,,
17,2/12/2008,2008,February,2,2.11,-0.445225597,,,,
18,2/12/2008,2008,February,2,3.33,-0.173174393,-0.154591661,-12.37150852,3.413333333,
1,3/13/2008,2008,March,3,2.98,-0.25122187,,,,
17,3/13/2008,2008,March,3,0.9,-0.715046874,,,,
18,3/13/2008,2008,March,3,2.07,-0.454145309,-0.473471351,-12.84497987,1.983333333,
1,4/15/2008,2008,April,4,2.47,-0.364948193,,,,
17,4/15/2008,2008,April,4,2.61,-0.333729202,,,,
18,4/15/2008,2008,April,4,2.51,-0.356028481,-0.351568626,-13.19654849,2.53,
1,5/14/2008,2008,May,5,,,,,,
17,5/14/2008,2008,May,5,11.8,1.715574539,,,,
18,5/14/2008,2008,May,5,,,1.715574539,-11.48097395,11.8,
1,6/17/2008,2008,June,6,4.46,0.078807459,,,,
17,6/17/2008,2008,June,6,9.21,1.138023213,,,,
18,6/17/2008,2008,June,6,3.81,-0.066137854,0.383564273,-11.09740968,5.826666667,
1,7/15/2008,2008,July,7,9.15,1.124643645,,,,
17,7/15/2008,2008,July,7,10.6,1.447983191,,,,
18,7/15/2008,2008,July,7,11,1.537180307,1.369935715,-9.727473965,10.25,
1,8/13/2008,2008,August,8,11.2,1.581778865,,,,
17,8/13/2008,2008,August,8,16.2,2.696742816,,,,
18,8/13/2008,2008,August,8,13.2,2.027764446,2.102095376,-7.62537859,13.53333333,
1,9/17/2008,2008,September,9,6.27,0.48242441,,,,
17,9/17/2008,2008,September,9,10.1,1.336486796,,,,
18,9/17/2008,2008,September,9,9.51,1.20492105,1.007944085,-6.617434504,8.626666667,
1,10/16/2008,2008,October,10,8.26,0.926180062,,,,
17,10/16/2008,2008,October,10,0.206,-0.86980387,,,,
18,10/16/2008,2008,October,10,0.42,-0.822083413,-0.25523574,-6.872670245,2.962,6.129403509
1,11/11/2008,2008,November,11,12.2,1.804771655,,,,
17,11/11/2008,2008,November,11,7.96,0.859282225,,,,
18,11/11/2008,2008,November,11,8.42,0.961858909,1.208637596,-5.664032648,9.526666667,
1,12/17/2008,2008,December,12,2.82,-0.286900716,,,,
17,12/17/2008,2008,December,12,0.99,-0.694977522,,,,
18,12/17/2008,2008,December,12,3.31,-0.177634249,-0.386504163,-6.050536811,2.373333333,
1,1/12/2009,2009,January,1,6.77,0.593920805,,,,
17,1/12/2009,2009,January,1,4.02,-0.019309368,,,,
18,1/12/2009,2009,January,1,2,-0.469754804,0.034952211,-6.0155846,4.263333333,
1,2/10/2009,2009,February,2,0.79,-0.73957608,,,,
17,2/10/2009,2009,February,2,2.21,-0.422926318,,,,
18,2/10/2009,2009,February,2,0.19,-0.873371755,-0.678624718,-6.694209318,1.063333333,
1,3/18/2009,2009,March,3,4.22,0.02528919,,,,
17,3/18/2009,2009,March,3,2.01,-0.467524876,,,,
18,3/18/2009,2009,March,3,0.41,-0.824313341,-0.422183009,-7.116392327,2.213333333,
1,4/17/2009,2009,April,4,5.28,0.261661547,,,,
17,4/17/2009,2009,April,4,0.99,-0.694977522,,,,
18,4/17/2009,2009,April,4,2.72,-0.309199995,-0.247505324,-7.363897651,2.996666667,
1,5/12/2009,2009,May,5,3.52,-0.130805763,,,,
17,5/12/2009,2009,May,5,8.91,1.071125376,,,,
18,5/12/2009,2009,May,5,0.98,-0.69720745,0.081037387,-7.282860264,4.47,
1,6/16/2009,2009,June,6,6.38,0.506953617,,,,
17,6/16/2009,2009,June,6,4.56,0.101106738,,,,
18,6/16/2009,2009,June,6,2.06,-0.456375237,0.050561706,-7.232298558,4.333333333,
1,7/15/2009,2009,July,7,1.85,-0.503203723,,,,
17,7/15/2009,2009,July,7,6.01,0.424446284,,,,
18,7/15/2009,2009,July,7,0.42,-0.822083413,-0.300280284,-7.532578841,2.76,
1,8/18/2009,2009,August,8,0.61,-0.779714783,,,,
17,8/17/2009,2009,August,8,0.65,-0.770795071,,,,
18,8/18/2009,2009,August,8,1.69,-0.538882569,-0.696464141,-8.229042982,0.983333333,
1,9/14/2009,2009,September,9,6.5,0.533712751,,,,
17,9/14/2009,2009,September,9,8.39,0.955169125,,,,
18,9/14/2009,2009,September,9,4.93,0.183614071,0.557498649,-7.671544333,6.606666667,
1,10/13/2009,2009,October,10,7.56,0.770085109,,,,
17,10/13/2009,2009,October,10,2.18,-0.429616102,,,,
18,10/13/2009,2009,October,10,2.33,-0.396167184,-0.018566059,-7.690110392,4.023333333,
1,11/17/2009,2009,November,11,5.68,0.350858663,,,,
17,11/17/2009,2009,November,11,1.48,-0.585711055,,,,
18,11/17/2009,2009,November,11,1.81,-0.512123435,-0.248991942,-7.939102334,2.99,
1,12/15/2009,2009,December,12,4.73,0.139015513,,,,
17,12/15/2009,2009,December,12,2.95,-0.257911654,,,,
18,12/15/2009,2009,December,12,2.91,-0.266831365,-0.128575835,-8.06767817,3.53,
1,1/20/2010,2010,January,1,1.15,-0.659298676,,,,
17,1/20/2010,2010,January,1,0.94,-0.706127162,,,,
18,1/20/2010,2010,January,1,0.68,-0.764105287,-0.709843708,-8.777521878,0.923333333,
1,2/16/2010,2010,February,2,23.7,4.369188742,,,,
17,2/16/2010,2010,February,2,0.88,-0.719506729,,,,
18,2/16/2010,2010,February,2,2.36,-0.3894774,1.086734871,-7.690787007,8.98,
1,3/17/2010,2010,March,3,,,,,,
17,3/17/2010,2010,March,3,1.34,-0.616930046,,,,
18,3/17/2010,2010,March,3,0.93,-0.70835709,-0.662643568,-8.353430575,0.756666667,
1,4/14/2010,2010,April,4,3.9,-0.037148791,,,,
17,4/14/2010,2010,April,4,4.03,-0.01707944,,,,
18,4/14/2010,2010,April,4,1.68,-0.541112497,-0.19844691,-8.551877485,3.216666667,
1,5/17/2010,2010,May,5,5.06,0.212603134,,,,
17,5/17/2010,2010,May,5,5.33,0.272811187,,,,
18,5/17/2010,2010,May,5,1.94,-0.483134372,0.000759983,-8.551117502,4.11,
1,6/15/2010,2010,June,6,3.71,-0.088437133,,,,
17,6/15/2010,2010,June,6,2.21,-0.422926318,,,,
18,6/15/2010,2010,June,6,1.56,-0.567871632,-0.359745028,-8.91086253,2.493333333,
1,7/12/2010,2010,July,7,11.7,1.69327526,,,,
17,7/12/2010,2010,July,7,5.54,0.319639673,,,,
18,7/12/2010,2010,July,7,4.29,0.040898685,0.684604539,-8.226257991,7.176666667,
1,8/17/2010,2010,August,8,4.8,0.161314792,,,,
17,8/17/2010,2010,August,8,1.96,-0.478674516,,,,
18,8/17/2010,2010,August,8,3.71,-0.088437133,-0.135265619,-8.36152361,3.5,
1,9/15/2010,2010,September,9,10.4,1.403384633,,,,
17,9/15/2010,2010,September,9,2.71,-0.311429923,,,,
18,9/15/2010,2010,September,9,10.9,1.514881028,0.868945246,-7.492578364,8.003333333,
1,10/13/2010,2010,October,10,8.30 ,0.935032876,,,,
17,10/13/2010,2010,October,10,5.27 ,0.259565415,,,,
18,10/13/2010,2010,October,10,4.01 ,-0.022565063,0.390677743,-7.101900621,5.858566667,
1,11/16/2010,2010,November,11,10.5 ,1.429251797,,,,
17,11/16/2010,2010,November,11,8.29 ,0.93336043,,,,
18,11/16/2010,2010,November,11,6.16 ,0.458207393,0.940273206,-6.161627415,8.3232,
1,12/8/2010,2010,December,12,8.08,0.88572917,,,,
17,12/8/2010,2010,December,12,8.66 ,1.014485207,,,,
18,12/8/2010,2010,December,12,6.05 ,0.433365996,0.777860124,-5.38376729,7.594866667,
1,1/19/2011,2011,January,1,1.15 ,-0.65916488,,,,
17,1/19/2011,2011,January,1,6.18 ,0.461507686,,,,
18,1/19/2011,2011,January,1,1.02 ,-0.688131644,-0.295262946,-5.679030236,2.7825,
1,2/17/2011,2011,February,2,0.34 ,-0.839432252,,,,
17,2/17/2011,2011,February,2,1.25 ,-0.636397316,,,,
18,2/17/2011,2011,February,2,0.32 ,-0.844382692,-0.773404087,-6.452434323,0.6383,
1,3/17/2011,2011,March,3,2.69 ,-0.31649186,,,,
17,3/17/2011,2011,March,3,5.93 ,0.406183175,,,,
18,3/17/2011,2011,March,3,0.38 ,-0.831716701,-0.247341795,-6.699776119,2.9974,
1,4/13/2011,2011,April,4,2.79,-0.29452707,,,,
17,4/13/2011,2011,April,4,8.62 ,1.0054094,,,,
18,4/13/2011,2011,April,4,0.71 ,-0.757460102,-0.015525924,-6.715302043,4.036966667,
1,5/18/2011,2011,May,5,6.18,0.462355059,,,,
17,5/18/2011,2011,May,5,1.85,-0.503203723,,,,
18,5/18/2011,2011,May,5,1.78,-0.518813218,-0.186553961,-6.901856003,3.27,
1,6/14/2011,2011,June,6,8.87,1.062205664,,,,
17,6/14/2011,2011,June,6,0.34,-0.839922836,,,,
18,6/14/2011,2011,June,6,0.34,-0.839922836,-0.205880003,-7.107736006,3.183333333,
1,7/11/2011,2011,July,7,3.42,-0.153105042,,,,
17,7/11/2011,2011,July,7,20.8,3.722509651,,,,
18,7/11/2011,2011,July,7,2.59,-0.338189058,1.07707185,-6.030664156,8.936666667,
1,8/16/2011,2011,August,8,22.5,4.101597394,,,,
17,8/16/2011,2011,August,8,1.52,-0.576791344,,,,
18,8/16/2011,2011,August,8,6.61,0.558241958,1.361016003,-4.669648153,10.21,
1,9/13/2011,2011,September,9,2.91,-0.266831365,,,,
17,9/13/2011,2011,September,9,7.74,0.810223811,,,,
18,9/13/2011,2011,September,9,0.5,-0.80424399,-0.086950515,-4.756598668,3.716666667,
1,10/11/2011,2011,October,10,7.7,0.794614316,,,,
17,10/11/2011,2011,October,10,0.51,-0.802014062,,,,
18,10/11/2011,2011,October,10,0.9,-0.717276801,-0.241558849,-4.998157517,3.023333333,
1,11/15/2011,2011,November,11,6.47,0.527022968,,,,
17,11/15/2011,2011,November,11,11.8,1.715574539,,,,
18,11/15/2011,2011,November,11,3.24,-0.193243745,0.683117921,-4.315039596,7.17,
1,12/13/2011,2011,December,12,4.18,0.016369478,,,,
17,12/13/2011,2011,December,12,0.52,-0.799784134,,,,
18,12/13/2011,2011,December,12,3.22,-0.1977036,-0.327039419,-4.642079015,2.64,
1,1/9/2012,2012,January,1,9.66,1.238369968,,,,
17,1/9/2012,2012,January,1,0.80,-0.737346153,,,,
18,1/9/2012,2012,January,1,1.38,-0.608010334,-0.035662173,-4.677741188,3.946666667,
1,2/23/2012,2012,February,2,0.93,-0.70835709,,,,
17,2/23/2012,2012,February,2,0.39,-0.828773197,,,,
18,2/23/2012,2012,February,2,0.23,-0.864452043,-0.800527443,-5.478268631,0.516666667,
1,3/12/2012,2012,March,3,11.7,1.69327526,,,,
17,3/12/2012,2012,March,3,1.22,-0.643689181,,,,
18,3/12/2012,2012,March,3,2.02,-0.465294949,0.19476371,-5.28350492,4.98,
1,4/16/2012,2012,April,4,4.85,0.165774648,,,,
17,4/16/2012,2012,April,4,0.97,-0.699437378,,,,
18,4/16/2012,2012,April,4,1.14,-0.661528604,-0.398397112,-5.681902032,2.32,
1,5/16/2012,2012,May,5,4.91,0.179154215,,,,
17,5/16/2012,2012,May,5,9.39,1.178161915,,,,
18,5/16/2012,2012,May,5,2.85,-0.280210933,0.359035066,-5.322866966,5.716666667,
1,6/13/2012,2012,June,6,17.9,3.075830559,,,,
17,6/13/2012,2012,June,6,8.2,0.912800495,,,,
18,6/13/2012,2012,June,6,14.3,2.273056515,2.08722919,-3.235637777,13.46666667,
1,7/17/2012,2012,July,7,10.9,1.514881028,,,,
17,7/17/2012,2012,July,7,9.79,1.267359031,,,,
18,7/17/2012,2012,July,7,2.99,-0.248991942,0.844416039,-2.391221738,7.893333333,
1,8/14/2012,2012,August,8,8.97,1.084504943,,,,
17,8/14/2012,2012,August,8,3.35,-0.168714538,,,,
18,8/14/2012,2012,August,8,8.34,0.944019485,0.61993663,-1.771285107,6.886666667,
1,9/12/2012,2012,September,9,3.32,-0.175404321,,,,
17,9/12/2012,2012,September,9,4.53,0.094416955,,,,
18,9/12/2012,2012,September,9,1.62,-0.554492065,-0.211826477,-1.983111584,3.156666667,
1,10/18/2012,2012,October,10,3.05,-0.235612375,,,,
17,10/18/2012,2012,October,10,1.35,-0.614700118,,,,
18,10/18/2012,2012,October,10,2.02,-0.465294949,-0.438535814,-2.421647398,2.14,
1,11/13/2012,2012,November,11,8.23,0.919490278,,,,
17,11/13/2012,2012,November,11,14.2,2.250757236,,,,
18,11/13/2012,2012,November,11,10.8,1.492581749,1.554276421,-0.867370977,11.07666667,
1,12/11/2012,2012,December,12,18.6,3.231925512,,,,
17,12/11/2012,2012,December,12,4.26,0.034208901,,,,
18,12/11/2012,2012,December,12,11.3,1.604078144,1.623404186,0.756033209,11.38666667,
1,1/14/2013,2013,January,1,11.4,1.626377423,,,,
17,1/14/2013,2013,January,1,0.57,-0.788634494,,,,
18,1/14/2013,2013,January,1,3.04,-0.237842303,0.199966875,0.956000084,5.003333333,
1,2/13/2013,2013,February,2,0.46,-0.813163701,,,,
17,2/13/2013,2013,February,2,0.77,-0.744035936,,,,
18,2/13/2013,2013,February,2,7.09,0.665278498,-0.297307047,0.658693038,2.773333333,
1,3/11/2013,2013,March,3,9.64,1.233910113,,,,
17,3/11/2013,2013,March,3,9.4,1.180391843,,,,
18,3/11/2013,2013,March,3,8.78,1.042136313,1.152146089,1.810839127,9.273333333,
1,4/17/2013,2013,April,4,1.28,-0.630309613,,,,
17,4/17/2013,2013,April,4,0.76,-0.746265864,,,,
18,4/17/2013,2013,April,4,2.75,-0.302510212,-0.55969523,1.251143897,1.596666667,
1,5/14/2013,2013,May,5,3.06,-0.233382447,,,,
17,5/14/2013,2013,May,5,0.69,-0.76187536,,,,
18,5/14/2013,2013,May,5,1.05,-0.681597955,-0.55895192,0.692191977,1.6,
1,6/11/2013,2013,June,6,5.68,0.350858663,,,,
17,6/11/2013,2013,June,6,2.85,-0.280210933,,,,
18,6/11/2013,2013,June,6,3.03,-0.240072231,-0.056474833,0.635717144,3.853333333,
1,7/16/2013,2013,July,7,4.14,0.007449767,,,,
17,7/16/2013,2013,July,7,0.95,-0.703897234,,,,
18,7/16/2013,2013,July,7,2.92,-0.264601437,-0.320349635,0.315367509,2.67,
1,8/13/2013,2013,August,8,4.28,0.038668757,,,,
17,8/13/2013,2013,August,8,2.98,-0.25122187,,,,
18,8/13/2013,2013,August,8,5.51,0.312949889,0.033465592,0.348833101,4.256666667,
1,9/16/2013,2013,September,9,11.5,1.648676702,,,,
17,9/16/2013,2013,September,9,5.32,0.270581259,,,,
18,9/16/2013,2013,September,9,1.11,-0.668218388,0.417013191,0.765846292,5.976666667,
1,10/22/2013,2013,October,10,8.11,0.892731144,,,,
17,10/22/2013,2013,October,10,3.65,-0.101816701,,,,
18,10/22/2013,2013,October,10,3.14,-0.215543024,0.191790473,0.957636765,4.966666667,
1,11/20/2013,2013,November,11,5.77,0.370928015,,,,
17,11/20/2013,2013,November,11,0.91,-0.712816946,,,,
18,11/20/2013,2013,November,11,0.96,-0.701667306,-0.347852079,0.609784686,2.546666667,
1,12/16/2013,2013,December,12,3.95,-0.034918864,,,,
17,12/16/2013,2013,December,12,0.85,-0.726196513,,,,
18,12/16/2013,2013,December,12,0.60,-0.781944711,-0.514353362,0.095431324,1.8,
1,1/15/2014,2014,January,1,2.73,-0.306970068,,,,
17,1/15/2014,2014,January,1,0.29,-0.851072476,,,,
18,1/15/2014,2014,January,1,0.46,-0.813163701,-0.657068748,-0.561637424,1.16,
1,2/18/2014,2014,February,2,0.81,-0.735116225,,,,
17,2/18/2014,2014,February,2,0.37,-0.833233052,,,,
18,2/18/2014,2014,February,2,0.43,-0.819853485,-0.796067587,-1.357705012,0.536666667,
1,3/21/2014,2014,March,3,0.96,-0.701667306,,,,
17,3/21/2014,2014,March,3,0.63,-0.775254927,,,,
18,3/21/2014,2014,March,3,0.67,-0.766335215,-0.747752483,-2.105457495,0.753333333,
1,4/18/2014,2014,April,4,2.41 ,-0.37832776,,,,
17,4/18/2014,2014,April,4,0.68 ,-0.764105287,,,,
18,4/18/2014,2014,April,4,0.76 ,-0.746265864,-0.629566304,-2.735023799,1.283333333,
1,5/13/2014,2014,May,5,6.58 ,0.551552175,,,,
17,5/13/2014,2014,May,5,0.93 ,-0.70835709,,,,
18,5/13/2014,2014,May,5,0.69 ,-0.76187536,-0.306226758,-3.041250557,2.733333333,
1,6/18/2014,2014,June,6,1.84 ,-0.505433651,,,,
17,6/18/2014,2014,June,6,2.47 ,-0.364948193,,,,
18,6/18/2014,2014,June,6,0.67 ,-0.766335215,-0.545572353,-3.58682291,1.66,
1,7/14/2014,2014,July,7,8.47 ,0.973008548,,,,
17,7/14/2014,2014,July,7,0.87 ,-0.721736657,,,,
18,7/14/2014,2014,July,7,1.47 ,-0.587940983,-0.112223031,-3.699045941,3.603333333,
1,8/13/2014,2014,August,8,11.7 ,1.69327526,,,,
17,8/13/2014,2014,August,8,2.31 ,-0.400627039,,,,
18,8/13/2014,2014,August,8,2.34 ,-0.393937256,0.299570322,-3.399475619,5.45,
1,9/16/2014,2014,September,9,12.9 ,1.960866608,,,,
17,9/16/2014,2014,September,9,3.71 ,-0.088437133,,,,
18,9/16/2014,2014,September,9,6.14 ,0.453435347,0.775288274,-2.624187345,7.583333333,
1,10/17/2014,2014,October,10,2.80,-0.291360572,,,,
17,10/17/2014,2014,October,10,4.88,0.172464431,,,,
