STA,DATE,YEAR,MONTH,MONTH#,PO4,Zscore PO4,meanZ,CUSUM,mean PO4,wetdryave
17,4/21/1997,1997,APRIL,4,0.07,-1.022763884,,,,
18,4/21/1997,1997,APRIL,4,0.07,-1.022763884,-2.728765391,-27.08396201,0.35,0.975882353
1,5/21/1997,1997,MAY,5,0.36,-0.319459489,,,,
17,5/21/1997,1997,MAY,5,0.29,-0.489222619,,,,
18,5/21/1997,1997,MAY,5,0.39,-0.246703862,-1.055385969,-28.13934798,1.04,
1,6/11/1997,1997,JUNE,6,0.43,-0.149696359,,,,
17,6/11/1997,1997,JUNE,6,0.33,-0.392215116,,,,
18,6/11/1997,1997,JUNE,6,0.11,-0.925756381,-1.467667856,-29.60701583,0.87,
1,7/17/1997,1997,JULY,7,1.03,1.305416181,,,,
17,7/17/1997,1997,JULY,7,0.95,1.111401176,,,,
18,7/17/1997,1997,JULY,7,0.8,0.747623041,3.164440398,-26.44257544,2.78,
18,8/22/1997,1997,AUGUST,8,0.35,-0.343711365,,,,
1,8/25/1997,1997,AUGUST,8,0.73,0.577859911,,,,
17,8/25/1997,1997,AUGUST,8,0.46,-0.076940732,0.157207814,-26.28536762,1.54,
1,9/25/1997,1997,SEPTEMBER,9,1.19,1.693446192,,,,
17,9/25/1997,1997,SEPTEMBER,9,0.79,0.723371165,,,,
18,9/25/1997,1997,SEPTEMBER,9,0.74,0.602111787,3.018929144,-23.26643848,2.72,
1,10/7/1997,1997,OCTOBER,10,1.11,1.499431187,,,,
17,10/7/1997,1997,OCTOBER,10,0.81,0.771874917,,,,
18,10/7/1997,1997,OCTOBER,10,0.47,-0.052688856,2.218617247,-21.04782123,2.39,1.67
1,11/21/1997,1997,NOVEMBER,11,0.51,0.044318646,,,,
17,11/21/1997,1997,NOVEMBER,11,0.05,-1.071267635,,,,
18,11/21/1997,1997,NOVEMBER,11,0.64,0.35959303,-0.667355959,-21.71517719,1.2,
1,12/16/1997,1997,DECEMBER,12,0.16,-0.804497002,,,,
17,12/16/1997,1997,DECEMBER,12,0.34,-0.36796324,,,,
18,12/16/1997,1997,DECEMBER,12,0.35,-0.334010614,-1.506470857,-23.22164805,0.85,
1,1/20/1998,1998,JANUARY,1,0.24,-0.610481997,,,,
17,1/20/1998,1998,JANUARY,1,0.35,-0.343711365,,,,
18,1/20/1998,1998,JANUARY,1,0.33,-0.392215116,-1.346408478,-24.56805652,0.92,
1,2/9/1998,1998,FEBRUARY,2,0.25,-0.586230121,,,,
17,2/9/1998,1998,FEBRUARY,2,0.36,-0.319459489,,,,
18,2/9/1998,1998,FEBRUARY,2,0.29,-0.489222619,-1.394912229,-25.96296875,0.9,
1,3/10/1998,1998,MARCH,3,0.09,-0.974260132,,,,
17,3/10/1998,1998,MARCH,3,0.06,-1.047015759,,,,
18,3/10/1998,1998,MARCH,3,0.02,-1.144023262,-3.165299153,-29.12826791,0.17,
1,4/13/1998,1998,APRIL,4,0.25,-0.586230121,,,,
17,4/13/1998,1998,APRIL,4,0.11,-0.925756381,,,,
18,4/13/1998,1998,APRIL,4,0.15,-0.828748878,-2.34073538,-31.46900329,0.51,
1,5/22/1998,1998,MAY,5,0.3,-0.464970743,,,,
17,5/22/1998,1998,MAY,5,0.05,-1.071267635,,,,
18,5/22/1998,1998,MAY,5,0.18,-0.755993251,-2.292231629,-33.76123492,0.53,
1,6/18/1998,1998,JUNE,6,0.15,-0.828748878,,,,
17,6/18/1998,1998,JUNE,6,0.1,-0.950008256,,,,
18,6/19/1998,1998,JUNE,6,0.15,-0.828748878,-2.607506013,-36.36874093,0.4,
1,7/9/1998,1998,JULY,7,0.9,0.990141798,,,,
17,7/9/1998,1998,JULY,7,0.34,-0.36796324,,,,
18,7/9/1998,1998,JULY,7,0.73,0.577859911,1.200038469,-35.16870246,1.97,
1,8/13/1998,1998,AUGUST,8,0.53,0.092822398,,,,
17,8/13/1998,1998,AUGUST,8,0.32,-0.416466992,,,,
18,8/13/1998,1998,AUGUST,8,0.31,-0.440718867,-0.764363461,-35.93306592,1.16,
1,9/18/1998,1998,SEPTEMBER,9,0.84,0.844630544,,,,
17,9/18/1998,1998,SEPTEMBER,9,0.43,-0.149696359,,,,
18,9/18/1998,1998,SEPTEMBER,9,0.48,-0.028436981,0.666497204,-35.26656872,1.75,
1,10/14/1998,1998,OCTOBER,10,0.79,0.723371165,,,,
17,10/14/1998,1998,OCTOBER,10,0.81,0.771874917,,,,
18,10/14/1998,1998,OCTOBER,10,0.94,1.0871493,2.582395382,-32.68417334,2.54,
1,11/17/1998,1998,NOVEMBER,11,0.58,0.214081776,,,,
17,11/17/1998,1998,NOVEMBER,11,0.72,0.553608035,,,,
18,11/17/1998,1998,NOVEMBER,11,0.74,0.602111787,1.369801598,-31.31437174,2.04,
1,12/16/1998,1998,DECEMBER,12,0.78,0.69911929,,,,
17,12/16/1998,1998,DECEMBER,12,0.62,0.311089279,,,,
18,12/16/1998,1998,DECEMBER,12,0.39,-0.246703862,0.763504706,-30.55086703,1.79,
1,1/20/1999,1999,JANUARY,1,0.4,-0.222451986,,,,
17,1/20/1999,1999,JANUARY,1,0.48,-0.028436981,,,,
18,1/20/1999,1999,JANUARY,1,0.27,-0.53772637,-0.788615337,-31.33948237,1.15,
1,2/16/1999,1999,FEBRUARY,2,0.18,-0.755993251,,,,
17,2/16/1999,1999,FEBRUARY,2,0.36,-0.319459489,,,,
18,2/16/1999,1999,FEBRUARY,2,0.31,-0.440718867,-1.516171607,-32.85565397,0.85,
1,3/17/1999,1999,MARCH,3,0.23,-0.634733873,,,,
17,3/17/1999,1999,MARCH,3,0.02,-1.144023262,,,,
18,3/17/1999,1999,MARCH,3,0.05,-1.071267635,-2.850024769,-35.70567874,0.3,
1,4/12/1999,1999,APRIL,4,0.36,-0.319459489,,,,
17,4/12/1999,1999,APRIL,4,0.13,-0.877252629,,,,
18,4/12/1999,1999,APRIL,4,0.19,-0.731741375,-1.928453494,-37.63413224,0.68,
1,5/20/1999,1999,MAY,5,0.38,-0.270955738,,,,
17,5/20/1999,1999,MAY,5,0.26,-0.561978246,,,,
18,5/20/1999,1999,MAY,5,0.15,-0.828748878,-1.661682861,-39.2958151,0.79,
1,6/15/1999,1999,JUNE,6,0.4,-0.222451986,,,,
17,6/15/1999,1999,JUNE,6,0.36,-0.319459489,,,,
18,6/15/1999,1999,JUNE,6,0.24,-0.610481997,-1.152393472,-40.44820857,1,
1,7/16/1999,1999,JULY,7,0.91,1.014393673,,,,
17,7/16/1999,1999,JULY,7,0.49,-0.004185105,,,,
18,7/16/1999,1999,JULY,7,0.31,-0.440718867,0.569489701,-39.87871887,1.71,
1,8/18/1999,1999,AUGUST,8,0.72,0.553608035,,,,
17,8/18/1999,1999,AUGUST,8,0.27,-0.53772637,,,,
