STA,DATE,YEAR,MONTH,MONTH#,CHL_A,Zscore CHL_A,meanZ,CUSUM,mean CHL_A,Annual mean
1,4/21/1997,1997,APRIL,4,9.815,0.910374391,,,,
17,4/21/1997,1997,APRIL,4,3.157,-0.631609146,,,,
18,4/21/1997,1997,APRIL,4,3.161,-0.630699924,-0.11731156,-1.976131581,5.377547038,
1,5/21/1997,1997,MAY,5,3.187,-0.624547609,,,,
17,5/21/1997,1997,MAY,5,1.951,-0.910890602,,,,
18,5/21/1997,1997,MAY,5,2.244,-0.84312175,-0.79285332,-2.768984901,2.460812724,
1,6/11/1997,1997,JUNE,6,2.416,-0.803179489,,,,
17,6/11/1997,1997,JUNE,6,4.102,-0.412703865,,,,
18,6/11/1997,1997,JUNE,6,2.637,-0.752139061,-0.656007471,-3.424992372,3.051661442,
1,7/17/1997,1997,JULY,7,11.104,1.209045744,,,,
17,7/17/1997,1997,JULY,7,11.151,1.219850838,,,,
18,7/17/1997,1997,JULY,7,13.553,1.776259763,1.401718781,-2.023273591,11.93614664,
18,8/22/1997,1997,AUGUST,8,9.633,0.868237686,,,,
1,8/25/1997,1997,AUGUST,8,9.741,0.893207903,,,,
17,8/25/1997,1997,AUGUST,8,8.948,0.709723614,0.823723068,-1.199550523,9.440579334,
1,9/25/1997,1997,SEPTEMBER,9,6.003,0.027605073,,,,
17,9/25/1997,1997,SEPTEMBER,9,10.306,1.024201616,,,,
18,9/25/1997,1997,SEPTEMBER,9,6.595,0.164596498,0.405467729,-0.794082794,7.634710667,
1,10/7/1997,1997,OCTOBER,10,5.697,-0.043319779,,,,
17,10/7/1997,1997,OCTOBER,10,3.587,-0.532109429,,,,
18,10/7/1997,1997,OCTOBER,10,5.993,0.025253991,-0.183391739,-0.977474533,5.092237769,
1,11/21/1997,1997,NOVEMBER,11,2.123,-0.871120768,,,,
17,11/21/1997,1997,NOVEMBER,11,1.771,-0.952700489,,,,
18,11/21/1997,1997,NOVEMBER,11,1.963,-0.908154108,-0.910658455,-1.888132988,1.952174623,
1,12/16/1997,1997,DECEMBER,12,4.167,-0.397614219,,,,
17,12/16/1997,1997,DECEMBER,12,7.103,0.282352957,,,,
18,12/16/1997,1997,DECEMBER,12,4.84,-0.241798215,-0.119019826,-2.007152813,5.370171392,5.291384695
1,1/20/1998,1998,JANUARY,1,4.857,-0.23792945,,,,
17,1/20/1998,1998,JANUARY,1,5.869,-0.003586472,,,,
18,1/20/1998,1998,JANUARY,1,8.702,0.65255446,0.137012846,-1.870139967,6.475623819,
1,2/9/1998,1998,FEBRUARY,2,1.643,-0.982164664,,,,
17,2/9/1998,1998,FEBRUARY,2,5.113,-0.17848309,,,,
18,2/9/1998,1998,FEBRUARY,2,4.817,-0.247024102,-0.469223952,-2.339363919,3.858122171,
1,3/10/1998,1998,MARCH,3,8.675,0.646350577,,,,
17,3/10/1998,1998,MARCH,3,12.08,1.435063636,,,,
18,3/10/1998,1998,MARCH,3,10.552,1.081190624,1.054201612,-1.285162307,10.43569869,
1,4/13/1998,1998,APRIL,4,8.029,0.496686311,,,,
17,4/13/1998,1998,APRIL,4,8.771,0.668563351,,,,
18,4/13/1998,1998,APRIL,4,4.673,-0.280424755,0.294941636,-0.990220672,7.157500717,
1,5/22/1998,1998,MAY,5,2.886,-0.6943614,,,,
17,5/22/1998,1998,MAY,5,1.661,-0.978135518,,,,
18,5/22/1998,1998,MAY,5,2.084,-0.880064119,-0.850853679,-1.841074351,2.210389069,
1,6/18/1998,1998,JUNE,6,13.982,1.875568604,,,,
17,6/18/1998,1998,JUNE,6,17.92,2.787690664,,,,
18,6/19/1998,1998,JUNE,6,18.43,2.905817065,2.523025444,0.681951094,16.77752553,
1,7/9/1998,1998,JULY,7,2.694,-0.738884018,,,,
17,7/9/1998,1998,JULY,7,3.612,-0.526167737,,,,
18,7/9/1998,1998,JULY,7,1.786,-0.949042591,-0.738031449,-0.056080355,2.69751287,
1,8/13/1998,1998,AUGUST,8,14.727,2.048067316,,,,
17,8/13/1998,1998,AUGUST,8,6.123,0.055294799,,,,
18,8/13/1998,1998,AUGUST,8,4.847,-0.240077147,0.621094989,0.565014634,8.565707779,
1,9/18/1998,1998,SEPTEMBER,9,11.568,1.316518127,,,,
17,9/18/1998,1998,SEPTEMBER,9,3.475,-0.557887087,,,,
18,9/18/1998,1998,SEPTEMBER,9,7.5,0.374322044,0.377651028,0.942665662,7.514608653,
1,10/14/1998,1998,OCTOBER,10,3.931,-0.452459449,,,,
17,10/14/1998,1998,OCTOBER,10,2.14,-0.867247552,,,,
18,10/14/1998,1998,OCTOBER,10,1.72,-0.964371331,-0.761359444,0.181306218,2.596791394,
1,11/17/1998,1998,NOVEMBER,11,4.977,-0.210179577,,,,
17,11/17/1998,1998,NOVEMBER,11,5.993,0.025134108,,,,
18,11/17/1998,1998,NOVEMBER,11,4.861,-0.236925673,-0.140657048,0.040649171,5.276750035,
1,12/16/1998,1998,DECEMBER,12,3.72,-0.501185395,,,,
17,12/16/1998,1998,DECEMBER,12,6.003,0.027507375,,,,
18,12/16/1998,1998,DECEMBER,12,1.71,-0.966724837,-0.480134286,-0.439485115,3.811015469,6.44810385
1,1/20/1999,1999,JANUARY,1,6.482,0.138550259,,,,
17,1/20/1999,1999,JANUARY,1,9.401,0.81448769,,,,
18,1/20/1999,1999,JANUARY,1,5.08,-0.186227501,0.255603483,-0.183881632,6.987653423,
1,2/16/1999,1999,FEBRUARY,2,7.505,0.375412439,,,,
17,2/16/1999,1999,FEBRUARY,2,10.567,1.084644927,,,,
18,2/16/1999,1999,FEBRUARY,2,10.215,1.003001906,0.821019757,0.637138125,9.42890746,
1,3/17/1999,1999,MARCH,3,18.301,2.875823942,,,,
17,3/17/1999,1999,MARCH,3,10.272,1.01617377,,,,
18,3/17/1999,1999,MARCH,3,8.479,0.600902886,1.497633533,2.134771658,12.35027033,
1,4/12/1999,1999,APRIL,4,1.728,-0.962657717,,,,
17,4/12/1999,1999,APRIL,4,3.387,-0.578295835,,,,
18,4/12/1999,1999,APRIL,4,4.101,-0.41300081,-0.651318121,1.483453537,3.071908287,
1,5/20/1999,1999,MAY,5,2.207,-0.851580634,,,,
17,5/20/1999,1999,MAY,5,1.838,-0.936994967,,,,
18,5/20/1999,1999,MAY,5,1.13,-1.10116428,-0.963246627,0.52020691,1.725118748,
1,6/15/1999,1999,JUNE,6,8.588,0.626305397,,,,
17,6/15/1999,1999,JUNE,6,4.494,-0.321859179,,,,
18,6/15/1999,1999,JUNE,6,3.72,-0.501224333,-0.065592705,0.454614205,5.600849531,
1,7/16/1999,1999,JULY,7,7.845,0.454125347,,,,
17,7/16/1999,1999,JULY,7,5.299,-0.135537939,,,,
18,7/16/1999,1999,JULY,7,6.37,0.112505558,0.143697655,0.59831186,6.504486301,
1,8/18/1999,1999,AUGUST,8,10.684,1.111666418,,,,
17,8/18/1999,1999,AUGUST,8,6.669,0.181718544,,,,
18,8/18/1999,1999,AUGUST,8,5.589,-0.068342235,0.408347576,1.006659436,7.647144757,
1,9/20/1999,1999,SEPTEMBER,9,15.137,2.14314837,,,,
17,9/20/1999,1999,SEPTEMBER,9,5.712,-0.039783308,,,,
18,9/20/1999,1999,SEPTEMBER,9,4.108,-0.411380055,0.563995002,1.570654438,8.31917159,
1,10/12/1999,1999,OCTOBER,10,4.105,-0.411943459,,,,
17,10/12/1999,1999,OCTOBER,10,1.315,-1.058167981,,,,
18,10/12/1999,1999,OCTOBER,10,1.794,-0.947367767,-0.805826402,0.764828036,2.404799854,
1,11/8/1999,1999,NOVEMBER,11,7.226,0.310915444,,,,
17,11/8/1999,1999,NOVEMBER,11,6.715,0.192392736,,,,
18,11/8/1999,1999,NOVEMBER,11,2.388,-0.809827554,-0.102173125,0.662654912,5.442909088,
1,12/7/1999,1999,DECEMBER,12,3.787,-0.485757392,,,,
17,12/7/1999,1999,DECEMBER,12,6.142,0.059678337,,,,
18,12/7/1999,1999,DECEMBER,12,2.413,-0.803870903,-0.409983319,0.252671592,4.11390086,6.133093352
1,1/5/2000,2000,JANUARY,1,7.481,0.369810913,,,,
17,1/5/2000,2000,JANUARY,1,9.694,0.882337292,,,,
18,1/5/2000,2000,JANUARY,1,3.942,-0.449736697,0.267470503,0.520142095,7.038890734,
1,2/23/2000,2000,FEBRUARY,2,3.368,-0.582799536,,,,
17,2/23/2000,2000,FEBRUARY,2,4.541,-0.310993834,,,,
18,2/23/2000,2000,FEBRUARY,2,3.849,-0.471307754,-0.455033708,0.065108387,3.919390287,
1,3/15/2000,2000,MARCH,3,1.072,-1.114450735,,,,
17,3/15/2000,2000,MARCH,3,1.38,-1.043259009,,,,
18,3/15/2000,2000,MARCH,3,1.537,-1.006822986,-1.054844243,-0.989735856,1.329634817,
1,4/12/2000,2000,APRIL,4,3.688,-0.508517198,,,,
17,4/12/2000,2000,APRIL,4,6.186,0.069852739,,,,
18,4/12/2000,2000,APRIL,4,1.613,-0.989186402,-0.475950287,-1.465686143,3.829080396,
1,5/15/2000,2000,MAY,5,2.478,-0.788899369,,,,
17,5/15/2000,2000,MAY,5,0.752,-1.188615919,,,,
18,5/15/2000,2000,MAY,5,0.833,-1.169774385,-1.049096558,-2.514782701,1.354451153,
1,6/14/2000,2000,JUNE,6,3.724,-0.500354372,,,,
17,6/14/2000,2000,JUNE,6,4.239,-0.381062652,,,,
18,6/14/2000,2000,JUNE,6,2.658,-0.747185841,-0.542867622,-3.057650323,3.540156604,
1,7/13/2000,2000,JULY,7,4.136,-0.404765896,,,,
17,7/13/2000,2000,JULY,7,3.722,-0.500675435,,,,
18,7/13/2000,2000,JULY,7,4.875,-0.233768825,-0.379736718,-3.437387041,4.244494266,
1,8/16/2000,2000,AUGUST,8,3.792,-0.484620062,,,,
17,8/16/2000,2000,AUGUST,8,3.88,-0.464258278,,,,
18,8/16/2000,2000,AUGUST,8,4.65,-0.285864924,-0.411581088,-3.848968129,4.107002299,
1,9/13/2000,2000,SEPTEMBER,9,4.455,-0.330920928,,,,
17,9/13/2000,2000,SEPTEMBER,9,16.336,2.420754634,,,,
18,9/13/2000,2000,SEPTEMBER,9,2.018,-0.895436543,0.398132388,-3.450835741,7.603039431,
1,10/19/2000,2000,OCTOBER,10,2.01,-0.897302247,,,,
17,10/19/2000,2000,OCTOBER,10,2.772,-0.720870707,,,,
18,10/19/2000,2000,OCTOBER,10,2.352,-0.818046976,-0.81207331,-4.262909051,2.377828064,
1,11/15/2000,2000,NOVEMBER,11,2.362,-0.815666318,,,,
17,11/15/2000,2000,NOVEMBER,11,5.487,-0.091884714,,,,
18,11/15/2000,2000,NOVEMBER,11,4.923,-0.222567207,-0.37670608,-4.639615131,4.25757942,
1,12/15/2000,2000,DECEMBER,12,3.165,-0.62984919,,,,
17,12/15/2000,2000,DECEMBER,12,1.773,-0.952172903,,,,
18,12/15/2000,2000,DECEMBER,12,2.127,-0.870276024,-0.817432706,-5.457047837,2.354688217,3.829686307
1,1/10/2001,2001,JANUARY,1,3.146,-0.634110183,,,,
17,1/10/2001,2001,JANUARY,1,3.577,-0.534303926,,,,
18,1/10/2001,2001,JANUARY,1,2.668,-0.74477528,-0.637729797,-6.094777633,3.130577543,
1,2/6/2001,2001,FEBRUARY,2,6.337,0.104803234,,,,
17,2/6/2001,2001,FEBRUARY,2,6.462,0.133857155,,,,
18,2/6/2001,2001,FEBRUARY,2,5.989,0.024239463,0.087633284,-6.007144349,6.262421511,
1,3/13/2001,2001,MARCH,3,3.78,-0.487247173,,,,
17,3/13/2001,2001,MARCH,3,7.482,0.370032569,,,,
18,3/13/2001,2001,MARCH,3,3.246,-0.610890024,-0.242701543,-6.249845892,4.836160425,
1,4/19/2001,2001,APRIL,4,1.626,-0.986089819,,,,
17,4/19/2001,2001,APRIL,4,0.604,-1.222983662,,,,
18,4/19/2001,2001,APRIL,4,0.26,-1.302471667,-1.170515049,-7.420360941,0.83021194,
1,5/17/2001,2001,MAY,5,4.078,-0.418399709,,,,
17,5/17/2001,2001,MAY,5,0.929,-1.147638084,,,,
18,5/17/2001,2001,MAY,5,0.647,-1.21304031,-0.926359367,-8.346720308,1.884384009,
1,6/16/2001,2001,JUNE,6,8.716,0.65585097,,,,
17,6/16/2001,2001,JUNE,6,2.733,-0.729738798,,,,
18,6/16/2001,2001,JUNE,6,25.313,4.499895395,1.475335856,-6.871384453,12.25399738,
1,7/17/2001,2001,JULY,7,16.402,2.43603074,,,,
17,7/17/2001,2001,JULY,7,9.777,0.901635636,,,,
18,7/17/2001,2001,JULY,7,6.51,0.144922243,1.160862873,-5.71052158,10.89622175,
1,8/16/2001,2001,AUGUST,8,8.281,0.555264463,,,,
17,8/16/2001,2001,AUGUST,8,5.082,-0.185831663,,,,
18,8/16/2001,2001,AUGUST,8,2.54,-0.774539451,-0.13503555,-5.84555713,5.301021538,
1,9/18/2001,2001,SEPTEMBER,9,5.507,-0.087275018,,,,
17,9/18/2001,2001,SEPTEMBER,9,6.398,0.119009023,,,,
18,9/18/2001,2001,SEPTEMBER,9,1.527,-1.009180081,-0.325815358,-6.171372488,4.477306343,
1,10/17/2001,2001,OCTOBER,10,3.658,-0.515650893,,,,
17,10/17/2001,2001,OCTOBER,10,3.678,-0.510907637,,,,
18,10/17/2001,2001,OCTOBER,10,2.434,-0.799002316,-0.608520282,-6.77989277,3.256693201,
1,11/8/2001,2001,NOVEMBER,11,5.314,-0.132001399,,,,
17,11/8/2001,2001,NOVEMBER,11,5.233,-0.15069827,,,,
18,11/8/2001,2001,NOVEMBER,11,5.507,-0.087244213,-0.123314627,-6.903207398,5.351628059,
1,12/3/2001,2001,DECEMBER,12,6.456,0.132551931,,,,
17,12/3/2001,2001,DECEMBER,12,6.938,0.244136456,,,,
18,12/3/2001,2001,DECEMBER,12,7.354,0.340538381,0.239075589,-6.664131809,6.916292216,5.449742993
1,1/14/2002,2002,JANUARY,1,2.176,-0.858736028,,,,
17,1/14/2002,2002,JANUARY,1,2.868,-0.698474159,,,,
18,1/14/2002,2002,JANUARY,1,3.632,-0.521653975,-0.692954721,-7.357086529,2.892137167,
1,2/13/2002,2002,FEBRUARY,2,3.347,-0.587604258,,,,
