11,1/25/1995,1995,JANUARY,1,0.40,-0.390328039,,,,,,,,
12,1/25/1995,1995,JANUARY,1,0.14,-0.644456251,,,,,,,,
13,1/25/1995,1995,JANUARY,1,0.28,-0.507617983,-0.514134091,,0.273333333,,,,,
11,2/15/1995,1995,FEBRUARY,2,0.12,-0.664004575,,,,,,,,
12,2/15/1995,1995,FEBRUARY,2,0.27,-0.517392145,,,,,,,,
13,2/15/1995,1995,FEBRUARY,2,0.27,-0.517392145,-0.566262955,-1.080397046,0.22,,,,,
11,3/23/1995,1995,MARCH,3,0.25,-0.536940469,,,,,,,,
12,3/23/1995,1995,MARCH,3,0.27,-0.517392145,,,,,,,,
13,3/23/1995,1995,MARCH,3,0.33,-0.458747173,-0.504359929,-1.584756975,0.283333333,,,,,
11,4/25/1995,1995,APRIL,4,0.31,-0.478295497,,,,,,,,
12,4/25/1995,1995,APRIL,4,0.28,-0.507617983,,,,,,,,
13,4/25/1995,1995,APRIL,4,0.10,-0.683552899,-0.556488793,-2.141245768,0.23,,,,,
11,5/20/1995,1995,MAY,5,0.57,-0.224167284,,,,,,,,
12,5/20/1995,1995,MAY,5,0.40,-0.390328039,,,,,,,,
13,5/20/1995,1995,MAY,5,0.20,-0.585811279,-0.400102201,-2.541347969,0.39,,,,,
11,6/14/1995,1995,JUNE,6,,-0.78129452,,,,,,,,
12,6/14/1995,1995,JUNE,6,0.20,-0.585811279,,,,,,,,
13,6/14/1995,1995,JUNE,6,0.33,-0.458747173,-0.912926486,-3.454274454,0.265,,,,,
11,7/6/1995,1995,JULY,7,0.03,-0.751972033,,,,,,,,
12,7/6/1995,1995,JULY,7,0.15,-0.634682089,,,,,,,,
13,7/6/1995,1995,JULY,7,0.02,-0.761746195,-0.716133439,-4.170407894,0.066666667,,,,,
11,8/22/1995,1995,AUGUST,8,0.36,-0.429424687,,,,,,,,
12,8/22/1995,1995,AUGUST,8,1.95,1.124667075,,,,,,,,
13,8/22/1995,1995,AUGUST,8,0.02,-0.76565586,-0.023471157,-4.193879051,0.775333333,,,,,
11,9/21/1995,1995,SEPTEMBER,9,1.02,0.215670007,,,,,,,,
12,9/21/1995,1995,SEPTEMBER,9,1.08,0.274314979,,,,,,,,
13,9/21/1995,1995,SEPTEMBER,9,0.02,-0.766633276,-0.092216097,-4.286095148,0.705,,,,,
11,10/12/1995,1995,OCTOBER,10,0.35,-0.439198849,,,,,,,,
12,10/12/1995,1995,OCTOBER,10,0.65,-0.145973988,,,,,,,,
13,10/12/1995,1995,OCTOBER,10,0.69,-0.10687734,-0.230683392,-4.51677854,0.563333333,,,,,
11,12/8/1995,1995,DECEMBER,12,0.01,-0.771520357,,,,,,,,
12,12/8/1995,1995,DECEMBER,12,0.04,-0.742197871,,,,,,,,
13,12/8/1995,1995,DECEMBER,12,0.02,-0.76565586,-0.759791363,-5.276569903,0.022,0.344909091,,,,
11,1/23/1996,1996,JANUARY,1,1.84,1.017151293,,,,,,,,
12,1/23/1996,1996,JANUARY,1,0.62,-0.175296474,,,,,,,,
13,1/23/1996,1996,JANUARY,1,0.06,-0.722649547,0.03973509,-5.236834813,0.84,,,,,
11,2/12/1996,1996,FEBRUARY,2,0.02,-0.76565586,,,,,,,,
12,2/12/1996,1996,FEBRUARY,2,0.17,-0.615133765,,,,,,,,
