6,Oct-99,1999,OCTOBER,10,3.570,0.120,,,,,,,
8,Oct-99,1999,OCTOBER,10,0.684,0.000,,,,,,,
15,Oct-99,1999,OCTOBER,10,2.126,0.017,2.127,0.046,0.021613594,-0.269596798,-0.269596798,-0.586402155,-0.586402155
6,Nov-99,1999,NOVEMBER,11,2.405,0.023,,,,,,,
8,Nov-99,1999,NOVEMBER,11,0.311,0.000,,,,,,,
15,Nov-99,1999,NOVEMBER,11,1.386,0.007,1.367,0.010,0.007328505,-0.615834286,-0.885431084,-0.79453823,-1.380940384
6,Dec-99,1999,DECEMBER,12,4.768,0.031,,,,,,,
8,Dec-99,1999,DECEMBER,12,0.212,0.000,,,,,,,
15,Dec-99,1999,DECEMBER,12,3.280,0.014,2.753,0.015,0.00539647,-0.66266234,-1.548093424,-0.414667646,-1.795608031
6,Jan-00,2000,JANUARY,1,3.211,0.030,,,,,,,
8,Jan-00,2000,JANUARY,1,0.422,0.003,,,,,,,
15,Jan-00,2000,JANUARY,1,2.458,0.032,2.031,0.022,0.010668627,-0.534877464,-2.082970888,-0.612739005,-2.408347036
6,Feb-00,2000,FEBRUARY,2,2.014,0.045,,,,,,,
8,Feb-00,2000,FEBRUARY,2,2.317,0.027,,,,,,,
15,Feb-00,2000,FEBRUARY,2,2.113,0.037,2.148,0.037,0.017007938,-0.381227243,-2.464198132,-0.580558386,-2.988905422
6,Mar-00,2000,MARCH,3,2.486,0.044,,,,,,,
8,Mar-00,2000,MARCH,3,0.612,0.013,,,,,,,
15,Mar-00,2000,MARCH,3,1.900,0.032,1.666,0.030,0.017853131,-0.360741721,-2.824939853,-0.712636822,-3.701542244
6,Apr-00,2000,APRIL,4,5.022,0.000,,,,,,,
8,Apr-00,2000,APRIL,4,1.206,0.000,,,,,,,
15,Apr-00,2000,APRIL,4,1.411,0.000,2.547,0.000,0,-0.793460293,-3.618400146,-0.47129376,-4.172836004
6,May-00,2000,MAY,5,11.532,0.134,,,,,,,
8,May-00,2000,MAY,5,1.107,0.008,,,,,,,
15,May-00,2000,MAY,5,8.238,0.099,6.959,0.081,0.011597249,-0.512369821,-4.130769967,0.738358392,-3.434477612
6,Jun-00,2000,JUNE,6,13.424,0.319,,,,,,,
8,Jun-00,2000,JUNE,6,1.167,0.000,,,,,,,
15,Jun-00,2000,JUNE,6,11.751,0.147,8.781,0.155,0.017677215,-0.365005517,-4.495775484,1.237711216,-2.196766396
6,Jul-00,2000,JULY,7,7.622,0.627,,,,,,,
8,Jul-00,2000,JULY,7,1.036,0.017,,,,,,,
15,Jul-00,2000,JULY,7,7.445,0.434,5.368,0.359,0.066954953,0.829372843,-3.666402641,0.302162807,-1.894603589
6,Aug-00,2000,AUGUST,8,12.146,1.154,,,,,,,
