5,1/24/1995,1995,JANUARY,1,10.70,1.264232383,,,,,,,,,,,,,,,
7,1/24/1995,1995,JANUARY,1,0.94,-0.494780518,,,,,,,,,,,,,,,
14,1/24/1995,1995,JANUARY,1,0.78,-0.523616795,0.081945023,,4.14,,,,,,,,,,,,
5,2/16/1995,1995,FEBRUARY,2,2.76,-0.166767866,,,,,,,,,,,,,,,
7,2/16/1995,1995,FEBRUARY,2,1.90,-0.321762856,,,,,,,,,,,,,,,
14,2/16/1995,1995,FEBRUARY,2,0.65,-0.54704627,-0.345192331,-0.263247307,1.77,,,,,,,,,,,,
5,3/22/1995,1995,MARCH,3,0.78,-0.523616795,,,,,,,,,,,,,,,
7,3/22/1995,1995,MARCH,3,0.41,-0.590300686,,,,,,,,,,,,,,,
14,3/22/1995,1995,MARCH,3,3.60,-0.015377412,-0.376431631,-0.639678938,1.596666667,,,,,,,,,,,,
5,4/18/1995,1995,APRIL,4,0.95,-0.492978251,,,,,,,,,,,,,,,
7,4/18/1995,1995,APRIL,4,0.65,-0.54704627,,,,,,,,,,,,,,,
14,4/18/1995,1995,APRIL,4,0.96,-0.491175983,-0.510400168,-1.150079106,0.853333333,,,,,,,,,,,,
5,5/16/1995,1995,MAY,5,1.31,-0.428096627,,,,,,,,,,,,,,,
7,5/16/1995,1995,MAY,5,0.26,-0.617334696,,,,,,,,,,,,,,,
14,5/16/1995,1995,MAY,5,0.60,-0.556057607,-0.533829643,-1.68390875,0.723333333,,,,,,,,,,,,
5,6/15/1995,1995,JUNE,6,0.06,-0.653380042,,,,,,,,,,,,,,,
7,6/15/1995,1995,JUNE,6,0.01,-0.662391378,,,,,,,,,,,,,,,
14,6/15/1995,1995,JUNE,6,0.06,-0.653380042,-0.656383821,-2.34029257,0.043333333,,,,,,,,,,,,
5,7/5/1995,1995,JULY,7,0.78,-0.523616795,,,,,,,,,,,,,,,
7,7/5/1995,1995,JULY,7,0.69,-0.539837201,,,,,,,,,,,,,,,
14,7/5/1995,1995,JULY,7,0.83,-0.514605459,-0.526019818,-2.866312389,0.766666667,,,,,,,,,,,,
5,8/23/1995,1995,AUGUST,8,1.20,-0.447921568,,,,,,,,,,,,,,,
7,8/23/1995,1995,AUGUST,8,0.84,-0.512803191,,,,,,,,,,,,,,,
14,8/23/1995,1995,AUGUST,8,1.71,-0.356005935,-0.438910231,-3.30522262,1.25,,,,,,,,,,,,
5,9/20/1995,1995,SEPTEMBER,9,12.80,1.64270852,,,,,,,,,,,,,,,
7,9/20/1995,1995,SEPTEMBER,9,11.70,1.444459115,,,,,,,,,,,,,,,
14,9/20/1995,1995,SEPTEMBER,9,11.20,1.354345749,1.480504461,-1.824718158,11.9,,,,,,,,,,,,
5,10/13/1995,1995,OCTOBER,10,0.54,-0.566871211,,,,,,,,,,,,,,,
7,10/13/1995,1995,OCTOBER,10,1.87,-0.327169658,,,,,,,,,,,,,,,
14,10/13/1995,1995,OCTOBER,10,2.55,-0.20461548,-0.366218783,-2.190936941,1.653333333,,,,,,,,,,,,
5,12/6/1995,1995,DECEMBER,12,0.57,-0.561464409,,,,,,,,,,,,,,,
7,12/6/1995,1995,DECEMBER,12,0.84,-0.512803191,,,,,,,,,,,,,,,
14,12/6/1995,1995,DECEMBER,12,2.49,-0.215429084,-0.429898895,-2.620835836,1.3,,,,,,,,,,,,
5,1/22/1996,1996,JANUARY,1,0.74,-0.530825864,,,,,,,,,,,,,,,
7,1/22/1996,1996,JANUARY,1,0.64,-0.548848538,,,,,,,,,,,,,,,
14,1/22/1996,1996,JANUARY,1,0.40,-0.592102953,-0.557259118,-3.178094954,0.593333333,,,,,,,,,,,,
5,2/15/1996,1996,FEBRUARY,2,3.09,-0.107293045,,,,,,,,,,,,,,,
7,2/15/1996,1996,FEBRUARY,2,0.98,-0.487571449,,,,,,,,,,,,,,,
14,2/15/1996,1996,FEBRUARY,2,2.78,-0.163163332,-0.252675942,-3.430770896,2.283333333,,,,,,,,,,,,
5,3/18/1996,1996,MARCH,3,1.21,-0.4461193,,,,,,,,,,,,,,,
7,3/18/1996,1996,MARCH,3,0.56,-0.563266676,,,,,,,,,,,,,,,
14,3/18/1996,1996,MARCH,3,1.09,-0.467746508,-0.492377495,-3.923148391,0.953333333,,,,,,,,,,,,
5,4/19/1996,1996,APRIL,4,0.00,-0.664193646,,,,,,,,,,,,,,,
7,4/19/1996,1996,APRIL,4,0.45,-0.583091617,,,,,,,,,,,,,,,
14,4/19/1996,1996,APRIL,4,0.34,-0.602916557,-0.61673394,-4.539882331,0.263333333,,,,,,,,,,,,
5,5/8/1996,1996,MAY,5,2.02,-0.300135648,,,,,,,,,,,,,,,
7,5/8/1996,1996,MAY,5,1.01,-0.482164647,,,,,,,,,,,,,,,
14,5/8/1996,1996,MAY,5,0.38,-0.595707488,-0.459335927,-4.999218258,1.136666667,,,,,,,,,,,,
5,6/20/1996,1996,JUNE,6,46.00,7.626236012,,,,,,,,,,,,,,,
7,6/20/1996,1996,JUNE,6,0.49,-0.575882547,,,,,,,,,,,,,,,
14,6/20/1996,1996,JUNE,6,1.00,-0.483966914,2.188795517,-2.810422741,15.83,,,,,,,,,,,,
5,7/22/1996,1996,JULY,7,0.82,-0.516407726,,,,,,,,,,,,,,,
7,7/22/1996,1996,JULY,7,0.78,-0.523616795,,,,,,,,,,,,,,,
14,7/22/1996,1996,JULY,7,1.04,-0.476757845,-0.505594122,-3.316016863,0.88,,,,,,,,,,,,
5,8/20/1996,1996,AUGUST,8,2.16,-0.274903905,,,,,,,,,,,,,,,
7,8/20/1996,1996,AUGUST,8,0.79,-0.521814528,,,,,,,,,,,,,,,
14,8/20/1996,1996,AUGUST,8,6.00,0.417166744,-0.12651723,-3.442534093,2.983333333,,,,,,,,,,,,
5,9/19/1996,1996,SEPTEMBER,9,8.68,0.900174385,,,,,,,,,,,,,,,
7,9/19/1996,1996,SEPTEMBER,9,10.80,1.282255056,,,,,,,,,,,,,,,
14,9/19/1996,1996,SEPTEMBER,9,5.00,0.236940013,0.806456485,-2.636077608,8.16,,,,,,,,,,,,
5,10/23/1996,1996,OCTOBER,10,1.13,-0.460537439,,,,,,,,,,,,,,,
7,10/23/1996,1996,OCTOBER,10,1.75,-0.348796865,,,,,,,,,,,,,,,
14,10/23/1996,1996,OCTOBER,10,0.99,-0.485769181,-0.431701162,-3.06777877,1.29,,,,,,,,,,,,
5,11/13/1996,1996,NOVEMBER,11,1.17,-0.45332837,,,,,,,,,,,,,,,
7,11/13/1996,1996,NOVEMBER,11,0.78,-0.523616795,,,,,,,,,,,,,,,
14,11/13/1996,1996,NOVEMBER,11,0.67,-0.543441736,-0.506795633,-3.574574404,0.873333333,,,,,,,,,,,,
5,12/16/1996,1996,DECEMBER,12,3.45,-0.042411421,,,,,,,,,,,,,,,
7,12/16/1996,1996,DECEMBER,12,1.17,-0.45332837,,,,,,,,,,,,,,,
14,12/16/1996,1996,DECEMBER,12,1.88,-0.32536739,-0.273702394,-3.848276797,2.166666667,,,,,,,,,,,,
7,1/13/1997,1997,JANUARY,1,0.99,-0.485769181,,,,,,,,,,,,,,,
14,1/13/1997,1997,JANUARY,1,2.27,-0.255078965,,,,,,,,,,,,,,,
5,1/15/1997,1997,JANUARY,1,7.90,0.759597534,0.006249796,-3.842027001,3.72,,,,,,,,,,,,
5,2/12/1997,1997,FEBRUARY,2,2.69,-0.179383738,,,,,,,,,,,,,,,
7,2/12/1997,1997,FEBRUARY,2,0.83,-0.514605459,,,,,,,,,,,,,,,
14,2/12/1997,1997,FEBRUARY,2,3.51,-0.031597818,-0.241862338,-4.083889339,2.343333333,,,,,,,,,,,,
5,3/17/1997,1997,MARCH,3,0.05,-0.656083443,,,,,,,,,,,,,,,
7,3/17/1997,1997,MARCH,3,1.04,-0.476757845,,,,,,,,,,,,,,,
14,3/17/1997,1997,MARCH,3,0.70,-0.538034934,-0.55695874,-4.64084808,0.595,,,,,,,,,,,,
