9,1/25/1995,1995,JANUARY,1,0.75,-0.693187858,,,,,,,,,,,,,,,
10,1/25/1995,1995,JANUARY,1,0.59,-0.726361283,-0.709774571,,0.67,,,,,,,,,,,,
9,2/15/1995,1995,FEBRUARY,2,1.53,-0.531467408,,,,,,,,,,,,,,,
10,2/15/1995,1995,FEBRUARY,2,1.52,-0.533540747,-0.532504078,-1.242278648,1.525,,,,,,,,,,,,
9,3/23/1995,1995,MARCH,3,0.94,-0.653794415,,,,,,,,,,,,,,,
10,3/23/1995,1995,MARCH,3,0.58,-0.728434622,-0.691114519,-1.933393167,0.76,,,,,,,,,,,,
9,4/25/1995,1995,APRIL,4,1.14,-0.612327633,,,,,,,,,,,,,,,
10,4/25/1995,1995,APRIL,4,1.04,-0.633061024,-0.622694328,-2.556087495,1.09,,,,,,,,,,,,
9,5/20/1995,1995,MAY,5,1.62,-0.512807356,,,,,,,,,,,,,,,
10,5/20/1995,1995,MAY,5,1.13,-0.614400972,-0.563604164,-3.119691659,1.375,,,,,,,,,,,,
9,6/14/1995,1995,JUNE,6,2.24,-0.384260332,,,,,,,,,,,,,,,
10,6/14/1995,1995,JUNE,6,1.43,-0.552200799,-0.468230565,-3.587922225,1.835,,,,,,,,,,,,
9,7/6/1995,1995,JULY,7,6.47,0.492762107,,,,,,,,,,,,,,,
10,7/6/1995,1995,JULY,7,11.85,1.608218543,1.050490325,-2.5374319,9.16,,,,,,,,,,,,
9,8/22/1995,1995,AUGUST,8,5.69,0.331041657,,,,,,,,,,,,,,,
10,8/22/1995,1995,AUGUST,8,2.50,-0.330353515,0.000344071,-2.537087829,4.095,,,,,,,,,,,,
9,9/21/1995,1995,SEPTEMBER,9,2.13,-0.407067062,,,,,,,,,,,,,,,
10,9/21/1995,1995,SEPTEMBER,9,1.64,-0.508660678,-0.45786387,-2.994951699,1.885,,,,,,,,,,,,
9,10/12/1995,1995,OCTOBER,10,1.24,-0.591594242,,,,,,,,,,,,,,,
10,10/12/1995,1995,OCTOBER,10,0.68,-0.707701231,-0.649647737,-3.644599435,0.96,,,,,,,,,,,,
9,12/8/1995,1995,DECEMBER,12,1.83,-0.470096571,,,,,,,,,,,,,,,
10,12/8/1995,1995,DECEMBER,12,1.05,-0.63181702,-0.550956796,-4.195556231,1.436,2.253727273,,,,,,,,,,,
9,1/23/1996,1996,JANUARY,1,6.26,0.448807318,0.448807318,-3.746748913,6.26,,,,,,,,,,,,
9,2/12/1996,1996,FEBRUARY,2,9.39,1.097555122,,,,,,,,,,,,,,,
10,2/12/1996,1996,FEBRUARY,2,5.14,0.216593339,0.657074231,-3.089674682,7.2625,,,,,,,,,,,,
9,3/19/1996,1996,MARCH,3,3.24,-0.177755758,,,,,,,,,,,,,,,
10,3/19/1996,1996,MARCH,3,4.36,0.055909559,-0.060923099,-3.150597782,3.7995,,,,,,,,,,,,
9,4/18/1996,1996,APRIL,4,3.43,-0.137740313,,,,,,,,,,,,,,,
10,4/18/1996,1996,APRIL,4,2.69,-0.291789408,-0.214764861,-3.365362642,3.0575,,,,,,,,,,,,
9,5/7/1996,1996,MAY,5,2.64,-0.302363438,,,,,,,,,,,,,,,
10,5/7/1996,1996,MAY,5,1.24,-0.59200891,-0.447186174,-3.812548816,1.9365,,,,,,,,,,,,
9,6/17/1996,1996,JUNE,6,2.65,-0.299875431,,,,,,,,,,,,,,,
10,6/17/1996,1996,JUNE,6,1.84,-0.46740123,-0.38363833,-4.196187146,2.243,,,,,,,,,,,,
9,7/23/1996,1996,JULY,7,3.79,-0.063929441,,,,,,,,,,,,,,,
10,7/23/1996,1996,JULY,7,4.83,0.153149163,0.044609861,-4.151577285,4.3085,,,,,,,,,,,,
9,8/22/1996,1996,AUGUST,8,3.51,-0.120116931,,,,,,,,,,,,,,,
10,8/22/1996,1996,AUGUST,8,1.93,-0.44936318,-0.284740055,-4.43631734,2.72,,,,,,,,,,,,
9,9/16/1996,1996,SEPTEMBER,9,1.50,-0.538516761,,,,,,,,,,,,,,,
10,9/16/1996,1996,SEPTEMBER,9,0.89,-0.66416111,-0.601338936,-5.037656276,1.193,,,,,,,,,,,,
9,10/22/1996,1996,OCTOBER,10,0.492,-0.746680007,,,,,,,,,,,,,,,
10,10/22/1996,1996,OCTOBER,10,0.754,-0.692358522,-0.719519264,-5.75717554,0.623,,,,,,,,,,,,
9,11/14/1996,1996,NOVEMBER,11,0.841,-0.674231232,,,,,,,,,,,,,,,
10,11/14/1996,1996,NOVEMBER,11,0.469,-0.751498437,-0.712864835,-6.470040375,0.65509523,,,,,,,,,,,,
9,12/18/1996,1996,DECEMBER,12,2.170,-0.398773706,,,,,,,,,,,,,,,
10,12/18/1996,1996,DECEMBER,12,2.241,-0.384052998,-0.391413352,-6.861453727,2.2055,3.02,,,,,,,,,,,
9,1/14/1997,1997,JANUARY,1,3.587,-0.104919835,,,,,,,,,,,,,,,
10,1/14/1997,1997,JANUARY,1,2.985,-0.229887364,-0.167403599,-7.028857326,3.285929885,,,,,,,,,,,,
9,2/10/1997,1997,FEBRUARY,2,6.170,0.430510547,,,,,,,,,,,,,,,
10,2/10/1997,1997,FEBRUARY,2,4.003,-0.018747146,0.2058817,-6.822975626,5.086336291,,,,,,,,,,,,
9,3/28/1997,1997,MARCH,3,4.260,0.034554166,,,,,,,,,,,,,,,
10,3/28/1997,1997,MARCH,3,3.007,-0.225235223,-0.095340528,-6.918316154,3.6335,,,,,,,,,,,,
9,4/22/1997,1997,APRIL,4,2.627,-0.304044791,,,,,,,,,,,,,,,
