9,1/25/1995,1995,JANUARY,1,1.27,-0.098633369,,,,,,,,,,,,,,,
10,1/25/1995,1995,JANUARY,1,3.32,0.615233408,0.258300019,,2.295,,,,,,,,,,,,
9,2/15/1995,1995,FEBRUARY,2,0.45,-0.384180079,,,,,,,,,,,,,,,
10,2/15/1995,1995,FEBRUARY,2,2.36,0.28093482,-0.05162263,0.20667739,1.405,,,,,,,,,,,,
9,3/23/1995,1995,MARCH,3,0.31,-0.432931957,,,,,,,,,,,,,,,
10,3/23/1995,1995,MARCH,3,1.43,-0.042916937,-0.237924447,-0.031247057,0.87,,,,,,,,,,,,
9,4/25/1995,1995,APRIL,4,1.43,-0.042916937,,,,,,,,,,,,,,,
10,4/25/1995,1995,APRIL,4,0.83,-0.251853555,-0.147385246,-0.178632303,1.13,,,,,,,,,,,,
9,5/20/1995,1995,MAY,5,0.83,-0.251853555,,,,,,,,,,,,,,,
10,5/20/1995,1995,MAY,5,0.53,-0.356321864,-0.304087709,-0.482720012,0.68,,,,,,,,,,,,
9,6/14/1995,1995,JUNE,6,0.09,-0.50954205,,,,,,,,,,,,,,,
10,6/14/1995,1995,JUNE,6,0.67,-0.307569986,-0.408556018,-0.89127603,0.38,,,,,,,,,,,,
9,7/6/1995,1995,JULY,7,0.27,-0.446861064,,,,,,,,,,,,,,,
10,7/6/1995,1995,JULY,7,0.02,-0.535310899,-0.491085982,-1.382362012,0.143,,,,,,,,,,,,
9,8/22/1995,1995,AUGUST,8,2.21,0.228700665,,,,,,,,,,,,,,,
10,8/22/1995,1995,AUGUST,8,1.25,-0.105597923,0.061551371,-1.320810641,1.73,,,,,,,,,,,,
9,9/21/1995,1995,SEPTEMBER,9,0.69,-0.300605432,,,,,,,,,,,,,,,
10,9/21/1995,1995,SEPTEMBER,9,0.12,-0.499095219,-0.399850325,-1.720660966,0.405,,,,,,,,,,,,
9,10/12/1995,1995,OCTOBER,10,0.48,-0.373733248,,,,,,,,,,,,,,,
10,10/12/1995,1995,OCTOBER,10,0.06,-0.51998888,-0.446861064,-2.167522031,0.27,,,,,,,,,,,,
9,12/8/1995,1995,DECEMBER,12,0.64,-0.318016817,,,,,,,,,,,,,,,
