5,Oct-99,1999,OCTOBER,10,6.186,0.000,,,,,
7,Oct-99,1999,OCTOBER,10,3.562,0.000,,,,,
14,Oct-99,1999,OCTOBER,10,1.757,0.000,3.835,0.000,0,-0.361522688,-0.361522688
5,Nov-99,1999,NOVEMBER,11,1.070,0.000,,,,,
7,Nov-99,1999,NOVEMBER,11,0.485,0.000,,,,,
14,Nov-99,1999,NOVEMBER,11,0.756,0.000,0.770,0.000,0,-0.361522688,-0.723045376
5,Dec-99,1999,DECEMBER,12,1.296,0.000,,,,,
7,Dec-99,1999,DECEMBER,12,1.489,0.000,,,,,
14,Dec-99,1999,DECEMBER,12,1.862,0.019,1.549,0.006,0.004051748,-0.232259991,-0.955305367
5,Jan-00,2000,JANUARY,1,3.215,0.000,,,,,
7,Jan-00,2000,JANUARY,1,3.460,0.000,,,,,
14,Jan-00,2000,JANUARY,1,3.180,0.000,3.285,0.000,0,-0.361522688,-1.316828055
5,Feb-00,2000,FEBRUARY,2,4.856,0.000,,,,,
7,Feb-00,2000,FEBRUARY,2,2.313,0.000,,,,,
14,Feb-00,2000,FEBRUARY,2,3.241,0.000,3.470,0.000,0,-0.361522688,-1.678350744
5,Mar-00,2000,MARCH,3,3.672,0.047,,,,,
7,Mar-00,2000,MARCH,3,2.682,0.000,,,,,
14,Mar-00,2000,MARCH,3,3.101,0.000,3.152,0.016,0.005002694,-0.201922021,-1.880272765
5,Apr-00,2000,APRIL,4,3.903,0.018,,,,,
7,Apr-00,2000,APRIL,4,8.590,0.000,,,,,
14,Apr-00,2000,APRIL,4,1.384,0.000,4.625,0.006,0.00127346,-0.320895563,-2.201168328
5,May-00,2000,MAY,5,7.377,0.890,,,,,
7,May-00,2000,MAY,5,2.985,0.000,,,,,
14,May-00,2000,MAY,5,0.561,0.000,3.641,0.297,0.081482387,2.238005196,0.036836868
5,Jun-00,2000,JUNE,6,23.290,3.101,,,,,
7,Jun-00,2000,JUNE,6,21.743,0.059,,,,,
14,Jun-00,2000,JUNE,6,11.069,0.257,18.701,1.139,0.060899973,1.581365632,1.6182025
5,Jul-00,2000,JULY,7,10.902,0.096,,,,,
7,Jul-00,2000,JULY,7,20.149,0.022,,,,,
14,Jul-00,2000,JULY,7,7.816,0.014,12.956,0.044,0.003388711,-0.253412843,1.364789656
5,Aug-00,2000,AUGUST,8,9.949,0.014,,,,,
7,Aug-00,2000,AUGUST,8,22.319,0.000,,,,,
14,Aug-00,2000,AUGUST,8,3.970,0.000,12.079,0.005,0.000377947,-0.349465077,1.015324579
5,Sep-00,2000,SEPTEMBER,9,8.584,0.022,,,,,
7,Sep-00,2000,SEPTEMBER,9,21.080,0.000,,,,,
14,Sep-00,2000,SEPTEMBER,9,4.814,0.000,11.493,0.007,0.00063529,-0.341255055,0.674069524
5,Oct-00,2000,OCTOBER,10,4.428,0.000,,,,,
7,Oct-00,2000,OCTOBER,10,14.989,0.026,,,,,
14,Oct-00,2000,OCTOBER,10,1.130,0.000,6.849,0.009,0.001288613,-0.320412151,0.353657373
5,Nov-00,2000,NOVEMBER,11,0.933,0.000,,,,,
7,Nov-00,2000,NOVEMBER,11,1.883,0.000,,,,,
14,Nov-00,2000,NOVEMBER,11,1.240,0.000,1.352,0.000,0,-0.361522688,-0.007865315
5,Dec-00,2000,DECEMBER,12,1.412,0.000,,,,,
7,Dec-00,2000,DECEMBER,12,3.898,0.000,,,,,
14,Dec-00,2000,DECEMBER,12,1.662,0.000,2.324,0.000,0,-0.361522688,-0.369388003
5,Jan-01,2001,JANUARY,1,2.651,0.000,,,,,
7,Jan-01,2001,JANUARY,1,7.545,0.000,,,,,
14,Jan-01,2001,JANUARY,1,5.286,0.000,5.161,0.000,0,-0.361522688,-0.730910691
5,Feb-01,2001,FEBRUARY,2,1.882,0.000,,,,,
7,Feb-01,2001,FEBRUARY,2,4.474,0.012,,,,,
14,Feb-01,2001,FEBRUARY,2,5.875,0.031,4.077,0.014,0.003539941,-0.248588165,-0.979498856
5,Mar-01,2001,MARCH,3,5.014,0.106,,,,,
7,Mar-01,2001,MARCH,3,5.456,0.057,,,,,
14,Mar-01,2001,MARCH,3,6.998,0.085,5.823,0.083,0.014200985,0.091530504,-0.887968352
5,Apr-01,2001,APRIL,4,1.519,0.000,,,,,
7,Apr-01,2001,APRIL,4,2.367,0.000,,,,,
14,Apr-01,2001,APRIL,4,1.628,0.000,1.838,0.000,0,-0.361522688,-1.24949104
5,May-01,2001,MAY,5,4.506,0.758,,,,,
7,May-01,2001,MAY,5,2.531,0.410,,,,,
14,May-01,2001,MAY,5,2.160,0.402,3.066,0.523,0.17066297,5.083128214,3.833637174
5,Jun-01,2001,JUNE,6,24.073,6.708,,,,,
7,Jun-01,2001,JUNE,6,6.342,0.000,,,,,
14,Jun-01,2001,JUNE,6,2.281,0.000,10.899,2.236,0.205147441,6.183284309,10.01692148
